message,sentiment
This makes me so frustrated and angry!,angry
I feel so alone,sad
Love spending time with you,happy
This is the worst experience I've ever had,angry
This is completely unacceptable,angry
The meeting is at 3 PM,neutral
Best day ever! Got promoted!,happy
Terrible service very disappointed,angry
I hate when this happens,angry
I hate when this happens,angry
The weather is nice today,neutral
I absolutely love this product! It exceeded my expectations,happy
Regular maintenance scheduled,neutral
I'm stressed about all these responsibilities,anxious
Can't contain my excitement!,excited
I'm pumped for the game tonight!,excited
The report is ready for review,neutral
This is amazing! I'm thrilled!,excited
I'm furious about this decision,angry
I miss my family so much,sad
Anxious about the future,anxious
This makes me so frustrated and angry!,angry
I can't wait to see what happens next!,excited
This is completely unacceptable,angry
This is completely unacceptable,angry
Best day ever! Got promoted!,happy
What if something goes wrong?,anxious
The report is ready for review,neutral
This is going to be incredible!,excited
I feel so alone,sad
I'm concerned about the deadline,anxious
Feeling lonely and sad,sad
I'm concerned about the deadline,anxious
So depressed lately,sad
This makes me so frustrated and angry!,angry
I hate when this happens,angry
The meeting is at 3 PM,neutral
This is amazing! I'm thrilled!,excited
This is completely unacceptable,angry
This is the worst experience I've ever had,angry
I'm pumped for the game tonight!,excited
Love spending time with you,happy
Terrible service very disappointed,angry
Thank you so much for your help!,happy
This is amazing! I'm thrilled!,excited
Thank you so much for your help!,happy
I'm pumped for the game tonight!,excited
I'm feeling really down today,sad
What if something goes wrong?,anxious
I'm furious about this decision,angry
I'm concerned about the deadline,anxious
I couldn't be happier with the results,happy
I'm feeling really down today,sad
Standard procedure completed,neutral
I'm worried about the test results,anxious
You're the best friend anyone could ask for,happy
You're the best friend anyone could ask for,happy
I'm furious about this decision,angry
I hate when this happens,angry
I absolutely love this product! It exceeded my expectations,happy
Standard procedure completed,neutral
So depressed lately,sad
I feel so alone,sad
Nothing seems to work out for me,sad
Feeling lonely and sad,sad
This is the worst experience I've ever had,angry
Anxious about the future,anxious
Nothing seems to work out for me,sad
The weather is nice today,neutral
What if something goes wrong?,anxious
This is completely unacceptable,angry
I absolutely love this product! It exceeded my expectations,happy
I absolutely love this product! It exceeded my expectations,happy
I'm so excited about the upcoming vacation!,excited
Terrible service very disappointed,angry
This makes me so frustrated and angry!,angry
I absolutely love this product! It exceeded my expectations,happy
Terrible service very disappointed,angry
Just another normal day at work,neutral
I'm feeling really down today,sad
I can't wait to see what happens next!,excited
I'm so excited about the upcoming vacation!,excited
Terrible service very disappointed,angry
Regular maintenance scheduled,neutral
This is going to be incredible!,excited
Anxious about the future,anxious
I absolutely love this product! It exceeded my expectations,happy
Please find the attached document,neutral
I absolutely love this product! It exceeded my expectations,happy
Thank you so much for your help!,happy
This is amazing! I'm thrilled!,excited
Everything feels hopeless right now,sad
I can't wait to see what happens next!,excited
This infuriates me,angry
Nothing seems to work out for me,sad
I miss my family so much,sad
I'm nervous about the presentation tomorrow,anxious
I hate when this happens,angry
I feel so alone,sad
I couldn't be happier with the results,happy
So depressed lately,sad
Standard procedure completed,neutral
I'm concerned about the deadline,anxious
The report is ready for review,neutral
I'm feeling really down today,sad
This makes me so frustrated and angry!,angry
I'm pumped for the game tonight!,excited
I'm stressed about all these responsibilities,anxious
I'm concerned about the deadline,anxious
Best day ever! Got promoted!,happy
This infuriates me,angry
I couldn't be happier with the results,happy
This is completely unacceptable,angry
I'm so excited about the upcoming vacation!,excited
Just another normal day at work,neutral
I'm pumped for the game tonight!,excited
Just another normal day at work,neutral
This is going to be incredible!,excited
I'm worried about the test results,anxious
I hate when this happens,angry
